Index,Country,Year,Value,Rank
DESI,Slovenia,2020,48.199025,14
GKI,Spain,2020,57.9,16
GII,Spain,2020,45.6,16
EIS,Spain,2020,91.943,15
DESI,Spain,2020,52.74805,9
GKI,Sweden,2020,70.6,2
GII,Sweden,2020,62.5,1
EIS,Sweden,2020,138.19,2
DESI,Sweden,2020,61.55075,3
GKI,Austria,2021,66.8,7
GII,Austria,2021,50.9,7
EIS,Austria,2021,124.583,8
DESI,Austria,2021,56.8692,10
GKI,Belgium,2021,65.5,9
GII,Belgium,2021,49.2,10
EIS,Belgium,2021,135.996,4
DESI,Belgium,2021,53.695,12
GKI,Bulgaria,2021,55.8,25
GII,Bulgaria,2021,42.4,20
EIS,Bulgaria,2021,45.071,26
DESI,Bulgaria,2021,36.83227,26
GKI,Croatia,2021,58.5,24
GII,Croatia,2021,37.3,25
EIS,Croatia,2021,69.828,22
DESI,Croatia,2021,46.01871,19
GKI,Cyprus,2021,59.3,21
GII,Cyprus,2021,46.7,14
EIS,Cyprus,2021,108.406,12
DESI,Cyprus,2021,43.46245,21
GKI,Czechia,2021,62.4,13
GII,Czechia,2021,49,11
EIS,Czechia,2021,89.095,17
DESI,Czechia,2021,47.3642,18
GKI,Denmark,2021,69,4
GII,Denmark,2021,57.3,4
EIS,Denmark,2021,144.533,2
DESI,Denmark,2021,70.0627,1
GKI,Estonia,2021,66.7,8
GII,Estonia,2021,49.9,9
EIS,Estonia,2021,114.104,10
DESI,Estonia,2021,59.4249,7
GKI,Finland,2021,69.9,2
GII,Finland,2021,58.4,3
EIS,Finland,2021,137.658,3
DESI,Finland,2021,67.1466,2
GKI,France,2021,64.9,10
GII,France,2021,55,6
EIS,France,2021,113.121,11
DESI,France,2021,50.63176,15
GKI,Germany,2021,66.9,6
GII,Germany,2021,57.3,5
EIS,Germany,2021,127.062,6
DESI,Germany,2021,54.06513,11
GKI,Greece,2021,51.5,27
GII,Greece,2021,36.3,26
EIS,Greece,2021,80.685,20
DESI,Greece,2021,37.30967,25
GKI,Hungary,2021,60.2,17
GII,Hungary,2021,42.7,19
EIS,Hungary,2021,70.419,21
DESI,Hungary,2021,41.23398,23
GKI,Ireland,2021,64.5,11
GII,Ireland,2021,50.7,8
EIS,Ireland,2021,118.403,9
DESI,Ireland,2021,60.2785,5
GKI,Italy,2021,58.8,23
GII,Italy,2021,45.7,15
EIS,Italy,2021,101.959,13
DESI,Italy,2021,45.52696,20
GKI,Latvia,2021,60.1,18
GII,Latvia,2021,40,22
EIS,Latvia,2021,54.679,25
DESI,Latvia,2021,49.4794,17
GKI,Lithuania,2021,59.1,22
GII,Lithuania,2021,39.9,23
EIS,Lithuania,2021,82.06,19
DESI,Lithuania,2021,51.7789,14
GKI,Luxembourg,2021,67.3,5
GII,Luxembourg,2021,49,12
EIS,Luxembourg,2021,125.867,7
DESI,Luxembourg,2021,58.98471,8
GKI,Malta,2021,61.9,14
GII,Malta,2021,47.1,13
EIS,Malta,2021,98.983,14
DESI,Malta,2021,59.5616,6
GKI,Netherlands,2021,69.5,3
GII,Netherlands,2021,58.6,2
EIS,Netherlands,2021,135.412,5
DESI,Netherlands,2021,65.1484,4
GKI,Poland,2021,59.6,20
GII,Poland,2021,39.9,24
EIS,Poland,2021,60.976,24
DESI,Poland,2021,40.99748,24
GKI,Portugal,2021,61.8,15
GII,Portugal,2021,44.2,17
EIS,Portugal,2021,87.526,18
DESI,Portugal,2021,49.90284,16
GKI,Romania,2021,54.3,26
GII,Romania,2021,35.6,27
EIS,Romania,2021,37.355,27
DESI,Romania,2021,32.86797,27
GKI,Slovakia,2021,59.8,19
GII,Slovakia,2021,40.2,21
EIS,Slovakia,2021,65.632,23
DESI,Slovakia,2021,43.20502,22
GKI,Slovenia,2021,63.7,12
GII,Slovenia,2021,44.1,18
EIS,Slovenia,2021,96.4,15
DESI,Slovenia,2021,52.8274,13
GKI,Spain,2021,61,16
GII,Spain,2021,45.4,16
EIS,Spain,2021,91.768,16
DESI,Spain,2021,57.44719,9
GKI,Sweden,2021,70,1
GII,Sweden,2021,63.1,1
EIS,Sweden,2021,145.156,1
DESI,Sweden,2021,66.1017,3
GKI,Austria,2022,63.63,6
GII,Austria,2022,50.2,7
EIS,Austria,2022,129.396,6
DESI,Austria,2022,54.7,10
GKI,Belgium,2022,62.51,9
GII,Belgium,2022,46.9,12
EIS,Belgium,2022,136.919,5
DESI,Belgium,2022,50.3,16
GKI,Bulgaria,2022,53.12,25
GII,Bulgaria,2022,39.5,20
EIS,Bulgaria,2022,44.583,26
DESI,Bulgaria,2022,37.7,26
GKI,Croatia,2022,54.99,23
GII,Croatia,2022,35.6,24
EIS,Croatia,2022,74.303,21
DESI,Croatia,2022,47.5,21
GKI,Cyprus,2022,58.61,15
GII,Cyprus,2022,46.2,13
EIS,Cyprus,2022,113.697,12
DESI,Cyprus,2022,48.4,20
GKI,Czechia,2022,59.13,14
GII,Czechia,2022,42.8,16
EIS,Czechia,2022,92.266,17
DESI,Czechia,2022,49.1,19
GKI,Denmark,2022,65.96,5
GII,Denmark,2022,55.9,5
EIS,Denmark,2022,146.469,2
DESI,Denmark,2022,69.3,2
GKI,Estonia,2022,63.23,8
GII,Estonia,2022,50.2,8
EIS,Estonia,2022,118.386,10
DESI,Estonia,2022,56.5,9
GKI,Finland,2022,66.91,2
GII,Finland,2022,56.9,4
EIS,Finland,2022,141.676,3
DESI,Finland,2022,69.6,1
GKI,France,2022,61.46,10
GII,France,2022,55,6
EIS,France,2022,115.546,11
DESI,France,2022,53.3,12
GKI,Germany,2022,63.58,7
GII,Germany,2022,57.2,3
EIS,Germany,2022,129.043,7
DESI,Germany,2022,52.9,13
GKI,Greece,2022,48.83,27
GII,Greece,2022,34.5,25
EIS,Greece,2022,85.73,20
DESI,Greece,2022,38.9,25
GKI,Hungary,2022,55.83,21
GII,Hungary,2022,39.8,19
EIS,Hungary,2022,73.867,22
DESI,Hungary,2022,43.8,22
GKI,Ireland,2022,61.12,12
GII,Ireland,2022,48.5,11
EIS,Ireland,2022,121.681,9
DESI,Ireland,2022,62.7,5
GKI,Italy,2022,56.48,19
GII,Italy,2022,46.1,14
EIS,Italy,2022,103.632,13
DESI,Italy,2022,49.3,18
GKI,Latvia,2022,57.92,17
GII,Latvia,2022,36.5,23
EIS,Latvia,2022,56.371,25
DESI,Latvia,2022,49.7,17
GKI,Lithuania,2022,55.57,22
GII,Lithuania,2022,37.4,22
EIS,Lithuania,2022,87.181,19
DESI,Lithuania,2022,52.7,14
GKI,Luxembourg,2022,66.11,4
GII,Luxembourg,2022,49.8,9
EIS,Luxembourg,2022,126.172,8
DESI,Luxembourg,2022,58.9,8
GKI,Malta,2022,61.38,11
GII,Malta,2022,49.1,10
EIS,Malta,2022,95.701,15
DESI,Malta,2022,60.9,6
GKI,Netherlands,2022,66.33,3
GII,Netherlands,2022,58,2
EIS,Netherlands,2022,138.549,4
DESI,Netherlands,2022,67.4,3
GKI,Poland,2022,54.7,24
GII,Poland,2022,37.5,21
EIS,Poland,2022,62.869,24
DESI,Poland,2022,40.5,24
GKI,Portugal,2022,58.55,16
GII,Portugal,2022,42.1,17
EIS,Portugal,2022,89.904,18
DESI,Portugal,2022,50.8,15
GKI,Romania,2022,51.2,26
GII,Romania,2022,34.1,27
EIS,Romania,2022,38.268,27
DESI,Romania,2022,30.6,27
GKI,Slovakia,2022,55.85,20
GII,Slovakia,2022,34.3,26
EIS,Slovakia,2022,66.969,23
DESI,Slovakia,2022,43.4,23
GKI,Slovenia,2022,60.94,13
GII,Slovenia,2022,40.6,18
EIS,Slovenia,2022,99.842,14
DESI,Slovenia,2022,53.4,11
GKI,Spain,2022,57.31,18
GII,Spain,2022,44.6,15
EIS,Spain,2022,92.842,16
DESI,Spain,2022,60.8,7
GKI,Sweden,2022,66.96,1
GII,Sweden,2022,61.6,1
EIS,Sweden,2022,147.314,1
DESI,Sweden,2022,65.2,4
